PERSONNM,VENDOR_NAME
RACHELLE SUMERSFORD,PARENT-TEACHER ASSN PUBLIC SCHOOL IS
FRANCINA HILL,WEE CARE AT LABOR INC
PATRICIA FAUSKE,CROSSROADS UNLIMITED INC
RICHARD ZIEGELASCH,ART COUNCIL INC
GERALD E MURAK,SCHOOL OF MANAGEMENT ALUMNI ASSOCIATION
SUSAN FENDELL,NATIONAL EMPOWERMENT CENTER
PATRICK CORREIA,NEW YORK STATE TECHNOLOGY ENTERPRISE
KATHLEEN BOMYSOAD,TENNIS CHARITIES OF BINGHAMTON INC
MICHAEL REID,METRO INTERFAITH HOUSING MGT CORP
MIRIAM LEUCHTER,JOSEPHINE HERRICK PROJECT
KEITH EISGRUBER,INTERNATIONAL IRONWORKERS LOCAL UNION
RAY HODGES,ROCKLAND TEACHERS CENTER INSTITUTE
SHERRILL LORING MD,SHEPHERD CENTER INC
JEFF STURTZ,FINISHING TRADES INSTITUTE OF WESTERN
BRIAN GILCHRIST,HOMEFRONT DEVELOPMENT CORP
SUSAN BRAUN,WALDORF SCHOOL
KEVIN CLARK,NEW DIRECTIONS YOUTH & FAMILY SERVICES
SALLY HEATER,CHILD CARE SOLUTIONS INC
DANIEL VANWIE,WASHINGTON COUNTY ECONOMIC OPPORTUNITY
MIKE DAVIS,THE CENTER FOR CRAFT CREATIVITY AND
YISROEL KRAMER,YESHIVA DERECH CHAIM
GEORGE LUKEMIRE,INTERCOLLEGIATE HORSE SHOWS ASSOCIATION
JILL KAPLAN,VILLAGE COMMUNITY SCHOOL
WILLIAM BURNETTE,TRAIN COLLECTORS ASSOCIATION
PATRICIA TRITT RN MA,COMMITTEE ON ACCREDITATION FOR THE EMS
ALLAN FRIED,HEBREW EDUCATIONAL SOCIETY OF BROOKLYN
RAY SANCHEZ,JACOB BURNS FILM CENTER
TIMOTHY WOODY,SOLID WASTE ASSOCIATION OF NORTH AMERICA
CARISSA MILLER,COUNCIL OF CHIEF STATE SCHOOL OFFICERS
MICHAEL W VRANOS,BOYS & GIRLS HARBOR INC
SCOTT BAILEY,LYONS PUBLIC LIBRARY
THOMAS EDWARDS,THOMAS COLLEGE
JIM DOYLE,THOMAS COLLEGE
LAURA ENGLISH,AMERICAS VETDOGS K-9 CORPS
LYNNE ATTANASSO,HEART OF THE CATSKILLS HUMANE SOCIETY
STEPHEN KARNATH,BROADWAY-FILLMORE NEIGHBORHOOD HOUSING
DEBORAH B VINSON,CHOWAN UNIVERSITY
CHARLENE WSUNY MONK,MID ATLANTIC ARTS FOUNDATION
GREGORY BLOUNT,UNITED BRONX PARENTS INC
SUSAN BARDEL,WOODSTOCK DAY SCHOOL
JAY ZUCKERMAN,NEW INTERDISCIPLINARY SCHOOL
ROBERT DEL VECCHIO,NEW INTERDISCIPLINARY SCHOOL
RICHARD FENTON,THE STATE UNIVERISTY COLLEGE AT
DEACON MARK BENNETT,CATHOLIC CHARITIES OF THE DIOCESE OF
JEFFREY HARMON,FAMILY LIFE MINISTRIES
RONALD CAMPBELL,GREAT NECK ALERT FIRE COMPANY
MICHAEL GOLDMAN,CHILD CARE COUNCIL OF WESTCHESTER INC
DAVID PIERAMICO,CHILDRENS INSTITUTE INC
ROB LYNCH,HALLWALLS INC
DEBORAH SWIDERSKI,STEFFI NOSSEN SCHOOL OF DANCE
DR PAMELA GUNTER-SMITH,YORK COLLEGE OF PENNSYLVANIA
BRITTNEY KELLEHER,VIABILITY INC
DAVID ERLACH,STUDENT UNION SERVICES CORP QUEENS
MRS LINDA B HUFF,THE METHODIST UNIVERSITY INC
BERNARD WEINTRAUB,SUNBRIDGE INSTITUTE INC
DIANA JOHNSON,MORRISVILLE AUXILIARY CORPORATION AT
WENDY R FLANAGAN,THE FRESH AIR FUND
ANTONY MCLETCHIE,ROCHESTER SCHOOL FOR DEAF
PHILIP WIEN,AMERICAN LEGION JERSEY BOYS STATE
SALVATORE TORRE,AMERICAN LEGION JERSEY BOYS STATE
KAREN CARLINI,DYNAMIC YOUTH COMMUNITY INC
ZACH MILLER,SOHO REPERTORY THEATRE INC
EARL SAMSON,ST LAWRENCE UNIVERSITY
DONNA PREMINGER,PORT WASHINGTON CHILDRENS CENTER INC
JOHNNY NG,CHINATOWN DAY CARE CENTER INC
NORA CHANG WANG,CHINATOWN DAY CARE CENTER INC
FREDRICK PANDIAN,BALLET HISPANICO OF NEW YORK INC
ANTHONY PANICCIA,BROOME CC FOUNDATION
DAVID STEINER,RELAY GRADUATE SCHOOL OF EDUCATION
DONALD YORIE,LIFELINE MEDIATION CENTER INC
RICHARD DREAD,WESTERN NEW YORK INDEPENDENT LIVING INC
DON BARONE,CHALLENGER MIRACLE FIELD OF WNY INC
TED MASCARI,WEBSTER ATHLETIC ASSOCIATION
JIM ECKLER,WEBSTER ATHLETIC ASSOCIATION
RANDY HEESACKER,NATIONAL COUNCIL OF HIGHER EDUCATION
KENNETH W MORRIS,HAMLINE UNIVERSITY
MICA ERTEGUN,JAZZ AT LINCOLN CENTER INC
LINDA PETRIE,CHILDRENS HOME OF JEFFERSON COUNTY
MYRON LEFF,INTERSCHOLASTIC EQUESTRIAN ASSOCIATION
JACKIE CARTER,AMERICAN ASSOCIATION OF COLLEGIATE
JUDITH PRINCE,THEATRE WORKS USA CORP
JUDITH ROTH BERKOWITZ,THE ROCKEFELLER UNIVERSITY
ROBERT D YALOWICH,MUSICAL FARE THEATRE CO
MARGUERITE LUKE,INTERNATIONAL NETWORK FOR PUBLIC SCHOOLS
DAN BUZI,DUTCHESS COUNTY ART ASSOCIATION INC
SARAH WILSON,DUTCHESS COUNTY ART ASSOCIATION INC
FOSTER MARTIN,NEW ENGLAND SCHOOL OF LAW
JOE D MAY,COUNCIL FOR HIGHER EDUCATION
DR LINDA CAMPBELL,GALLAUDET UNIVERSITY
MIKE ST JOHN,NATIONAL JUNIOR COLLEGE ATHLETIC ASSOC
MARTIN SCARANO,COLONIAL ATHLETIC ASSOCIATION FOOTBALL
CHRISTOPHER D DEWAR,CENTER FOR CREATIVE LEADERSHIP
KENT S PRICE III,CENTER FOR CREATIVE LEADERSHIP
GABRIEL PARK,EQUALITY CHARTER SCHOOL
REMY W TRAFELET,THE BOYS CLUB OF NEW YORK INC
JOHN SCHUMACHER,TIOGA CO AG SOCIETY
BRENDAN KINNEY,VERMONT PUBLIC RADIO
DR DUANE DURST,NORTHPOINT BIBLE COLLEGE
REV ROBERT CRABTREE,NORTHPOINT BIBLE COLLEGE
JOLANDA WESTERHOF,AMERICAN ASSOCIATION OF STATE COLLEGES
GORDON D MUIR,PLATTSBURGH COLLEGE FOUNDATION 835
MICHELE SOLA,MANHATTAN COUNTRY SCHOOL INC
PATRICIA ELDRIDGE,LAKE PLACID SINFONIETTA INC
SAM PRUITT II,HEALTH DELIVERY INC
CHRISTOPHER ROSADO,GATEWAY YOUTH OUTREACH INC
LINDA BAS-DEFALCO,WESTCHESTER EXCEPTIONAL CHILDREN INC
KELLYANN O'MARA,CORTLAND SPORTS COMPLEX INC
JOHN BRIDWELL,OKLAHOMA BLOOD INSTITUTE
MINLIN ZHONG,LASER INSTITUTE OF AMERICA
CHET HAINS,MEXICO VOLUNTEER FIRE DEPARTMENT
MARION C JORDAN,MANHATTANVILLE COLLEGE
TERI STUMBO,ASSOCIATION OF SCHOOLS OF ALLIED
SUZANNE FORNARO,LEARNING DISABILITIES ASSN OF AMERICA
DENIS J MCINERNEY,SANCTUARY FOR FAMILIES
DENNIS GEHR,OPTOMETRIC CENTER OF NEW YORK
MR ARNOLD T GRISHAM,DEPAUL UNIVERSITY
STEPHEN B KAUFMAN,BRONX OVERALL ECONOMIC DEVELOPMENT
HUGH W THOMPSON III,BEACON COLLEGE INC
CHRISTINE THOMAS,DUCKS UNLIMITED INC
BRUCE TABATCHNICK,MIAMI COUNTRY DAY SCHOOL INCORPORATED
WILLIAM SNYDER,DISABLED SPORTS USA
AILEEN MARTIN,NORTHERN REGIONAL CENTER FOR INDEPENDENT
CAROL URBAITIS,CAMPUS BOOK STORE FLCC ASSOCIATION INC
JAMES HENDRICKS,SAFE HORIZON INC
RONNIE RIOS,BROOKLYN COLLEGE ASSOCIATION INC
ARLENE REGNERUS,ROBERT MORRIS UNIVERSITY ILLINOIS
LINDA PETROSINO INTERIM VP,ITHACA COLLEGE
LISA B PUNTILLO,ITHACA COLLEGE
C BRIAN WILLIAMS,STEP AFRIKA USA INC
ALLEN ORR,STEP AFRIKA USA INC
DEBORAH MCALISTER,LARK THEATRE COMPANY INC
MILENA DIN,NEW YORK STATE CONGRESS OF PARENTS &
CEDRIC H JONES,UNIVERSITY OF THE SCIENCES IN PHILADELPH
CHRISTOPHER LAMBE,SCULPTURE SPACE INC
INGRID LEWIS-MARTIN,BROOKLYN PUBLIC LIBRARY
JOHN GERNON,STANLEY M ISSACS NEIGHBORHOOD CENTER
WILFRED ROSAS,CHAUTAUQUA OPPORTUNITIES INC
JACK PARIS,BREAKTHROUGH NEW YORK INC
MARIELY DOWNEY,PARK SCHOOL OF BUFFALO
THOMAS CRAWFORD,MALONE UNIVERSITY
FRANK RAYMOND,MALONE UNIVERSITY
JOE KRASNANSKY,THE COALITION FOR BEHAVIORAL HEALTH INC
CHRISTOPHER O'BRIEN,IRISH CLASSICAL THEATRE COMPANY
GIL PADDOCK,DUANE VOLUNTEER FIRE COMPANY INC
SOPHIA PALJEVIC,ASSOCIATION OF TEACHER EDUCATORS
LISBETH S LUKA,WILSON COLLEGE
REV ROBERT L NIEHOFF SJ,JOHN CARROLL UNIVERSITY
AMY D'ANGELO,ACHIEVEMENT FIRST BROWNSVILLE
QUANG BAO,NATIONAL BOOK FOUNDATION INC
THOMAS DELANEY,LEARNINGSPRING ELEMENTARY SCHOOL
ALAN SCLAR,LEARNINGSPRING ELEMENTARY SCHOOL
LARRY L KING,US COAST GUARD AUXILIARY ASSOCIATION
JOANNE VALENTINO-ROSEN,MEDICAL LETTER INC
CHARLES AZAR,SEPHARDIC COMMUNITY YOUTH CENTER INC
THOMAS J MEREDITH,NATURE CONSERVANCY THE
LYNN HALE,JEAN TOLAND
PETER G SEIDEN,GETTYSBURG COLLEGE
ERIC GURAL,COMPUTERS FOR YOUTH FOUNDATION
JUDITH HEMBERGER,BENEDICTINE COLLEGE
DEREK FEELEY,INSTITUTE FOR HEALTHCARE IMPROVEMENT
ANNE THOMAS,COMMUNITY ACTION PLANNING COUNCIL OF
GEORGE NEBLE,BELL FOUNDATION INC
DEBBIE MCKINNEY,AMERICAN SYMPHONY ORCHESTRA LEAGUE
MATTHEW PETRO,LANSINGBURGH BOYS AND GIRLS CL UB INC
SAMUEL HABIB ALSTON,WOODYCREST CENTER FOR HUMAN DEVELOPMENT
SALIM YUSUF,MCMASTER UNIVERSITY
ERIC GONZALEZ,UNITY PREPARATORY CHARTER SCHOOL OF
DEACON WILLIAM E YOKLEY,OAK-MICHIGAN HOUSING DEVELOPMENT FUND
GARY M ABRAMSON,AMERICAN UNIVERSITY
C NICHOLAS KEATING JR,AMERICAN UNIVERSITY
HELENA MANZIONE,SULLIVAN CC FOUNDATION 817
PATRICIA ALLISON,SULLIVAN CC FOUNDATION
SHARON MERCHANT,CENTRO SOCIAL LA ESPERANZA INC
DONALD HONG,UNITED ASIAN AMERICAN ALLIANCE INC
MICHAEL FAVATA,CATHOLIC CHARITIES COMMUNITY SERVICES OF
BARBARA O'NEILL,AMERICAN ASSOCIATION OF FAMILY AND
JOSEPH MANOPELLA,ALUMNI ASSOCIATION OF THE STATE
VAHIDEH RASEKHI,ALUMNI ASSOCIATION OF THE STATE
NICOLE FIRLOTTE,NATURE SERVE
MARCIA ANGLE,NATURE SERVE
DEPUTY MAYOR ALICIA GLEN,SPACEWORKS NYC INC
HEIDI K BARTHOLOMEW,UNIVERSITY OF MOUNT UNION
LUCY CURCI-GONZALEZ,NEW YORK LAW INSTITUTE INC
MARIO SUAREZ,NEW YORK LAW INSTITUTE INC
THOMAS GILMER,EDUCATION TRUST INC
MARY CORSALL,SCHOHARIE COUNTY COUNCIL OF
VINCENT C BATTISTA,INSTITUTE OF DESIGN AND CONSTRUCTION
WILLIAM GEOFFREY COLLINS,THE UNIVERSITY ATHLETIC ASSOCIATION INC
BARBARA A RITTER,BETA GAMMA SIGMA INC
JEFFERY A DAVIS,MONROE CC FOUNDATION
CAROLE ROTHMAN FORSTER,SECOND STAGE THEATRE INC
TIM MICHEL,ASSOCIATION FOR CHILDREN WITH DOWN
WILLYS SCHNEIDER KALS,POETS & WRITERS INC
J ALAN KAHN,POETS & WRITERS INC
KRISTEN CASH-HOLLAND,SUNY NEW PALTZ FOUNDATION 831
FRANK CRUZ,NEIGHBORHOOD SELF HELP BY OLDER PERSONS
DAVID BERMAN,WORKFORCE DEVELOPMENT CORPORATION
FRANCOIS LEDEE,ADULT RETARDATES CENTER
ALVIN SINGLETON,AMERICAN COMPOSERS ORCHESTRA INC
LARRY KIRSCH,HENRY VISCARDI SCHOOL
STEVEN STRAIT,LEWIS CO HEAD START
WARD ARNOLD JR,NIAGARA ENGINE CO NO SIX INC
TERRENCE BURNS,CENTER FOR DISPUTE SETTLEMENT
PAUL PARRAVANO,NATIONAL BRAILLE PRESS INC
MICHAEL HELBRINGER,BRISTOL HOME INC
HASSAN BAKIRIDDIN,WYCKOFF HOUSE & ASSOCIATION INC
LYNN LANGWORTHY,ALLEGANY COUNTY COMMUNITY OPPORTUNITIES
SUZIE ALVEY,THE GARDEN CITY HISTORICAL SOCIETY
ROBERT HILL,UPSTATE NEW YORK ENGINEERS TRAINING FUND
TRAVON T JACKSON,CAPITAL REGION SPONSOR A SCHOLAR
SOREN MOLLER,NATIONAL ALLIANCE FOR MUSICAL THEATRE
JILL EISENSTEIN,FINGER LAKES HEALTH SYSTEMS AGENCY
MARYANN MALESARDI,ASSOC OF GOVERNMENT ACCOUNTANTS
KYLE OWENS,WEST CHESTER UNIVERSITY
MARGRET BRADY,PASSAIC RIVER COALITION
MARIA CARNEY MD FACP,NEW YORK CHAPTER AMERICAN COLLEGE
CRAIG BREED,SAMARITAN CENTER INC
OLIVER GRUNDMANN,ADEC
JANET BENJAMINS,BUFFALO AUDUBON SOCIETY INC
PAUL HOMER,BUFFALO CHAMBER MUSIC SOCIETY FOUNDATION
YUKPING T CHAN,HEAD START OF ROCKLAND INC
MICHAEL BARANOWSKI,CAMPUS AUXILIARY SERVICES INCORPORATED
DR THOMAS CRONIN,COBLESKILL AGRCLTL & TECCOLLEGE
PAUL EHRBAR,HERRICKS COMMUNITY FUND INC
KAREN BERRY,ASSOCIATION OF AMERICAN STATE GEOLOGISTS
DARRYL M SCOTT,BOARD OF CONTROL FOR SOUTHERN REG ED
LAUREN BAUS,BOARD OF CONTROL FOR SOUTHERN REG ED
JAMES E BOTTOMS,BOARD OF CONTROL FOR SOUTHERN REG ED
MITCHELL M ZAIS,BOARD OF CONTROL FOR SOUTHERN REG ED
JOSEPH R KASBERG,NATIONAL CHURCH RESIDENCES
YVONNE TOVELL,TEAM SERVICES INC
BRENDA SCHICK,THE TRUST FOR PUBLIC LAND
LUCINDA FINGER,THE NORWICH FREE ACADEMY
RAY CLARK,STATE UNIVERSITY OF NEW YORK AT
ROSA CLARK,UNITED WAY OF CENTRAL NEW YORK INC 859
DANIEL HURLEY,UNITED WAY OF CENTRAL NEW YORK INC
CARLEEN PENSERO,UNITED WAY OF CENTRAL NEW YORK INC
MARJORIE KELLOGG,OTSEGO LAND TRUST INC
DEBRA S WALLER,DAVE THOMAS FOUNDATION FOR ADOPTION
KEISHA SMITH-JEREMIE,EAGLE ACADEMY FOUNDATION
KIM SULLIVAN-TIRADO,NEW YORK FAMILIES FOR AUTISTIC CHILDREN
WILLIAM MCVICAR,STATE UNIVERSITY OF NEW YORK COLLEGE AT
STEPHEN MARKLEY,SYRACUSE MODEL NEIGHBORHOOD CORPORATION
HOWARD GUTTERMAN,YESHIVAT SHAARE TORAH INC
KATE KARL,LANDMARK SOCIETY OF WESTERN NY
MARVIN DAVIS,TIMES SQUARE MANAGEMENT ASSOCIATION INC
REBECCA LEE WICKLINE,NATIONAL RECREATION AND PARK ASSOCIATION
MICHAEL KELLY,NATIONAL RECREATION AND PARK ASSOCIATION
GLENN ASKIN,AMERICAN CLASSICAL ORCHESTRA INC
LAURIE WIEST,VILLA OF HOPE
STEPHANIE SCHAEFFER,VILLA OF HOPE
SALLY PALAO,OGDENSBURG COMMAND PERFORMANCE
PATRICIA MAY,PERINTON ECUMENICAL MINISTRIES INC
PETER CASSISI,BUCHANAN FIRE DEPT
ROY DUHART,UTICA NEIGHBORHOOD HOUSING SERVICES INC
GARRETT R BOWDEN,BIG APPLE GREETER INC
DOUGLAS DURST,BIG APPLE GREETER INC
MICHAEL CERNAUSKAS,NATIOINAL ASSOC OF CHARTER SCHOOL AUTHO
JAMES MERRIMAN,NATIOINAL ASSOC OF CHARTER SCHOOL AUTHO
RALPH RENZULLI,LITTLE FALLS PUBLIC LIBRARY
VIRGINIA CLARK,COUNCIL FOR ADVANCEMENT AND SUPPORT OF
WALTER PARKES,NEW YORK STATE LINESMANS SAFETY TRAINING
LINDA FOSTER,CENTRAL NEW YORK EMS REGIONAL COUNCIL
NATHANAEL WIHELM,FACULTY STUDENT ASSOC
GIAN MARCO LO FORTE,PIONEERS GO EAST COLLECTIVE INC
PATIENCE NDLOVU,WORLD EDUCATION INC
KEVIN SULLIVAN,ON YOUR MARK INC
MAURA MOTTOLESE,SCHOOLS OUT INC
BETSY FRIEDMAN,THE DAVID HOCHSTEIN MEMORIAL SCHOOL OF
JI WANG,EAST WOODS SCHOOL INC
LOURDES BARRO,THE HONOR SOCIETY OF PHI KAPPA PHI
KAREN RATCHFORD,EDIBLE SCHOOLYARD NEW YORK
MICHAEL YORK,NORTHEAST DOCUMENT CONSERVATION
JOAN M BELGIORNO,BISHOP SHEEN ECUMENICAL HOUSING
ARTHUR J ROLNICK,RESOURCES FOR CHILD CARING
THOMAS WALSH,CANTON COLLEGE FOUNDATION INC 842
DANIEL FAY,CANTON COLLEGE FOUNDATION INC
DANIELLE FOGEL,MCMAHON RYAN CHILD ADVOCACY SITE
HOLMBOE JANELLE L,WARREN WILSON COLLEGE
LAURA RONAYNE,GREENWOOD LAKE PUBLIC LIBRARY
NEAL J FAULKNER,NEW ENGLAND CENTER FOR CHILDREN
ISABEL P MONTANEZ,GEOLOGICAL SOCIETY OF AMERICA
KRISTIN GAMBLE,THE SCENIC HUDSON LAND TRUST INC
DAAN BRAVEMAN,EMPIRE 8
WIN CLARK,RESCUE INC
DAVID KESSLER,CENTER FOR SCIENCE IN THE PUBLIC INTERES
JAMES J CAMPI,AMERICAN BATTLEFIELD TRUST
O JAMES LIGHTHIZER,AMERICAN BATTLEFIELD TRUST
DARCY WINSLOW,THE CLOUD INSTITUTE FOR SUSTAINABILITY
MICHAEL FARMER,KINGSBOROUGH COMMUNITY COLLEGE
MARY GARCIA,THE CHILDRENS CENTER AT PURCHASE COLLEGE
SYBIL BARTEN,THE CHILDRENS CENTER AT PURCHASE COLLEGE
JAVIER DIAZ,LEGACY COLLEGE PREPARATORY CHARTER
NILSA VELLA,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS
JOHN M AERNI ESQ,VOLUNTEERS OF LEGAL SERVICE
JAMES M LINDSAY,COUNCIL ON FOREIGN RELATIONS INCORPORATE
SCOTT SIMPSON,NEW ENGLAND COLLEGE
STEPHEN KETCHUM,NEW ENGLAND COLLEGE
STEVEN M SINACORI ESQ,BROOKLYN NAVY YARD DEVELOPMENT CORP
ROBERT SIMON,ASSOC OF FAMILY AND CONCILIATION COURTS
DR MICHAEL LEVINE,CLASSROOM INC
FRANCES B GRANQUIST,ALBERTUS COLLEGE
SUSAN SEIBOLD-SIMPSON,MOTHERS & BABIES PERINATAL NETWORK OF
RICK SMILOW,CITY HARVEST INC
ANITA WEISBORD,QUEENS BNAI BRITH HOUSING DEVELOPMENT
H DALE HEMMERDINGER,NEW YORK CITY POLICE FOUNDATION INC
BRIAN RHOA,AMERICAN RED CROSS
JON CLONTZ,MULTI-STATE LOTTERY ASSOCIATION
JANE HIGGINS,SOUTH BRONX COMMUNITY CHARTER HIGH
SUELLA YOUNG,ORCHESTRA ASSOCIATION OF NORTHERN NEW
JUAN C MONTALVO,HABITAT FOR HUMANITY INTERNATIONAL
TAYLOR D MCCAIN,DELTA SIGMA THETA SORORITY
RON CURRY,PARENTAL LOVING CARE INC
JEAN BLACKMORE,POTSDAM COLLEGE FOUNDATION INC SUNY
JULIA JASKEN,HERS HIGHER EDUCATION RESOURCE SERVICES
HANK HYATT,HABITAT FOR HUMANITY OF WESTCHESTER INC
MATTHEW TETO,NORTHEAST TRANSPORTATION TRAINING
ALAN PERKINS,NORTHEAST TRANSPORTATION TRAINING
CARL DELBERTA JR,ONEONTA BOYS CLUB INC
STEPHEN PERRY,HEARTSPRING
ELIZABETH MILY,STEPHEN GAYNOR SCHOOL
ALICE MOREY,ASSOCIATION OF THE BAR OF THE CITY OF
SHIRLEY O'CONNELL,CLINTON COMM COLLEGE FNDTN
LISA MILLER,THEATER FOR THE NEW CITY FNDN INC
DEBRA POPE-GARRETT,COMMISSION ON ECONOMIC OPPORTUNITY
SHALI SHARMA,HOUSING COURT ANSWERS INC
DONNA DEDEE,ROCHESTER ROTARY CHARITABLE TRUSTS
DR CHRISTOPHER SNYDER,SALISBURY UNIVERSITY FOUNDATION INC
LINDSAY DAVIES,COLLEGE OF THE ATLANTIC
REBEKAH MCCABE,TURNAROUND FOR CHILDREN INC
C MITCHELL EVANS,WEST VIRGINIA WESLEYAN COLLEGE
SOPHIA ROSSOVSKY,CITY ACCESS NEW YORK INC
KATHY SLATER,STRIDE INC
KENDALL CHRISTIANSEN,CENTER FOR ALTERNATIVE SENTENCING AND
RAFE EVANS,COLUMBUS AVENUE DISTRICT MGMT ASSOC
BARRY MILLER,DELAWARE VALLEY INDUSTRIAL RESOURCE CENT
JULIE WALKER,LYRASIS
DAVID DEVEAU,AMERICAN COLLEGE DANCE ASSOCIATION
GORDON CAPLAN,PUBLICOLOR INC
DOUG LOWENSTEIN FY17-19,JDRF INTERNATIONAL
IDA DOUGLAS,SULLIVAN COUNTY FEDERATION FOR THE
ANDREW BARNES,CHILDRENS DAY TREATMENT CENTER
FRED HANSS,TRADITIONAL ARTS IN UPSTATE NY
STEVE MITCHELL,AMERICAN ALLIANCE FOR HEALTH PHYSICAL
SABRINA WEBSTER,HOME HEADQUARTERS INC
ALISON LYONS-CHAPMAN,NEW YORK STUDIO SCHOOL OF DRAWING
ALVARO F RODAS,CORONA YOUTH MUSIC PROJECT INC
DR JOSEPH RELLA,SCOPE EDUCATION SERVICES
JENNIFER MORRISEY,MY FIRST SCHOOL
MARYL HOSKING,THE CHURCHILL SCHOOL AND CENTER
CAROLYN ZAZZARINO,UNITED WAY OF THE DUTCHESS ORANGE REGION
K ALETHA MAYBANK,MYRTLE AVENUE REVITALIZATION PROJECT LDC
REUBEN C CAHN,FEDERAL DEFENDERS OF SAN DIEGO INC
KATHERINE LOVELAND,SUSQUEHANNA REGIONAL EMS COUNCIL INC
NINA CURLEY,SOUNDVIEW PREPARATORY SCHOOL
TIMOTHY SHANAHAN,SCHOOL OF MANAGEMENT ALUMNI ASSOCIATION
BHARAT THAKKAR,DUTCHESS OUTREACH INC
DENISE TURNER-GOOTZEIT,CREATIVE LIFESTYLES
SCOTT MCCARTNEY,NEW YORK STATE TECHNOLOGY ENTERPRISE
CLEM ECKERT,DIOCESAN CTRL COUNCIL OF ST VINCENT DE
ROBERT ESNARD,THE ARMORY FOUNDATION
MICHELE ANTONELLI,BLIND AND VISION REHABILITATION SERVICES
MOLLY Y LANIER,SHEPHERD CENTER INC
VINCENT BANREY,YORK COLLEGE CHILD & FAMILY CENTER
JEFFREY STELZER,GEORGIA TECH RESEARCH CORPORATION
STACY VANDER VELDE,ASSOCIATION FOR STUDENT CONDUCT
KENT PAWLAK,NATIONAL ORDER OF OMEGA
ERIC CATALFAMO,MOUNTAIN LAKES REGIONAL EMS COUNCIL INC
PETER RICHMAN,CHENANGO COUNTY AGRICULTURAL SOCIETY
KAREN KUCHARSKI,TIOGA COUNTY HISTORICAL SOCIETY
STEPHANIE MOORE,THE CENTER FOR CRAFT CREATIVITY AND
MELISSA GORDON,VILLAGE COMMUNITY SCHOOL
PAUL DUNPHEY,RIVERDALE SENIOR SERVICES
JOHN LUCAS PHD,THE FORUM ON EDUCATION ABROAD
DR MARTIN JACOBS,HEBREW EDUCATIONAL SOCIETY OF BROOKLYN
STEVEN HOLT ESQ,NATIONAL DEVELOPMENT & RESEARCH
CONRAD MEYER,HUDSON RIVER MUSEUM OF WESTCHE STER
MARION FREEDMAN,HUDSON RIVER MUSEUM OF WESTCHE STER
KEITH BOGDANOVICH,CAMPHILL GHENT INC
MAUREEN CONNOR,MOMENTA ART INC
MR JAMES OEHRIG,CHRISTIAN CAMPS INC
ROBERT DOEBLIN,FINGER LAKES WORKFORCE INVESTMENT BOARD
EDWARD JACKSON JR,GIRL SCOUTS OF WESTERN NEW YORK INC
WILLIAM RYAN JR,THOMAS COLLEGE
MATTHEW KISSNER,WHITE PLAINS DOWNTOWN DISTRICT
TIFFANY CHRISTIANA,BARDAVON 1869 OPERA HOUSE INC
R MARIE ALTENAU,RESOURCE CENTER FOR ACCESSIBLE LIVING
JOSE DAVILA,THE MOMENTUM PROJECT INC
NEIL SHEEHAN,OUTREACH DEVELOP CORP INC
BRYAN SHELTON,INTERCOLLEGIATE TENNIS COACHES
